# x y z r p longitude latitude
2.33000000e+05 -1.89040000e+06 -2.95220000e+06 3.51330000e+06 0.00000000e+00 -1.44816051e+00 -9.97822721e-01
9.04000000e+05 -1.50340000e+06 -2.83730000e+06 3.33580000e+06 4.13690000e+09 -1.02941877e+00 -1.01705038e+00
7.27000000e+05 -1.56460000e+06 -3.03760000e+06 3.49340000e+06 1.48360000e+09 -1.13582194e+00 -1.05424054e+00
-1.00800000e+06 -6.49900000e+05 -3.22840000e+06 3.44400000e+06 1.84360000e+09 -2.56892258e+00 -1.21508320e+00
-8.81000000e+05 -9.93600000e+05 -2.92000000e+06 3.20780000e+06 7.63620000e+09 -2.29620043e+00 -1.14396277e+00
-4.73000000e+05 -1.15960000e+06 -2.75120000e+06 3.02290000e+06 1.03540000e+10 -1.95809382e+00 -1.14357219e+00
-3.23000000e+05 -9.58800000e+05 -3.17760000e+06 3.33480000e+06 5.43120000e+09 -1.89573497e+00 -1.26252911e+00
2.80000000e+04 -4.91300000e+05 -3.40930000e+06 3.44470000e+06 1.53530000e+09 -1.51386626e+00 -1.42730900e+00
-3.00000000e+04 -9.39800000e+05 -2.75560000e+06 2.91160000e+06 1.13180000e+10 -1.60270718e+00 -1.24196752e+00
4.71000000e+05 -8.00200000e+05 -3.00640000e+06 3.14660000e+06 6.89220000e+09 -1.03879924e+00 -1.27116025e+00
3.24000000e+05 -1.28540000e+06 -3.18620000e+06 3.45100000e+06 2.84940000e+09 -1.32387826e+00 -1.17650391e+00
4.82000000e+05 -1.45460000e+06 -3.02520000e+06 3.39120000e+06 2.13800000e+09 -1.25082050e+00 -1.10191332e+00
7.60000000e+05 -1.29290000e+06 -3.03720000e+06 3.38730000e+06 4.47030000e+09 -1.03937653e+00 -1.11212901e+00
5.70000000e+05 -1.19520000e+06 -3.18380000e+06 3.44820000e+06 2.06220000e+09 -1.12579269e+00 -1.17664371e+00
-1.85900000e+06 -1.20080000e+06 -2.62130000e+06 3.43060000e+06 1.52380000e+09 -2.56807779e+00 -8.69635341e-01
-1.34700000e+06 -8.51700000e+05 -3.07070000e+06 3.45970000e+06 1.73250000e+09 -2.57776541e+00 -1.09202690e+00
-1.09200000e+06 -3.46200000e+05 -3.24110000e+06 3.43760000e+06 1.44380000e+09 -2.83458345e+00 -1.23104638e+00
-8.00000000e+05 -9.27500000e+05 -3.19650000e+06 3.42320000e+06 2.87350000e+09 -2.28252199e+00 -1.20482167e+00
-7.61000000e+05 -1.19340000e+06 -3.18390000e+06 3.48440000e+06 1.50470000e+09 -2.13845757e+00 -1.15244132e+00
-3.46000000e+05 -9.15600000e+05 -2.84230000e+06 3.00610000e+06 7.57390000e+09 -1.93210203e+00 -1.23915987e+00
-9.90000000e+04 -8.49800000e+05 -3.01370000e+06 3.13280000e+06 8.21280000e+09 -1.68677155e+00 -1.29417216e+00
-1.92000000e+05 -7.03500000e+05 -2.73800000e+06 2.83350000e+06 1.23200000e+10 -1.83722878e+00 -1.31043141e+00
3.37000000e+05 -5.87500000e+05 -2.90590000e+06 2.98380000e+06 1.17320000e+10 -1.05000201e+00 -1.34178957e+00
6.66000000e+05 -1.01970000e+06 -2.95030000e+06 3.19180000e+06 4.40900000e+09 -9.92221605e-01 -1.17929535e+00
1.17800000e+06 -1.08870000e+06 -3.02010000e+06 3.41970000e+06 3.08780000e+09 -7.46022047e-01 -1.08253043e+00
1.17700000e+06 -8.66600000e+05 -3.17410000e+06 3.49450000e+06 1.23820000e+09 -6.34661469e-01 -1.13923331e+00
9.43000000e+05 -1.09200000e+06 -3.13770000e+06 3.45360000e+06 1.85920000e+09 -8.58486415e-01 -1.13975278e+00
2.17000000e+06 -1.38350000e+06 -2.20210000e+06 3.38710000e+06 3.33910000e+09 -5.67578582e-01 -7.07772877e-01
-1.96500000e+06 -8.61700000e+05 -2.73880000e+06 3.47920000e+06 1.33830000e+09 -2.72832290e+00 -9.06243207e-01
-1.75100000e+06 -9.94100000e+05 -2.79310000e+06 3.44320000e+06 1.67370000e+09 -2.62523708e+00 -9.46189457e-01
-9.44000000e+05 -1.80800000e+05 -3.05440000e+06 3.20210000e+06 6.91040000e+09 -2.95235885e+00 -1.26588648e+00
-7.08000000e+05 -6.77100000e+05 -2.74240000e+06 2.91220000e+06 1.11380000e+10 -2.37849965e+00 -1.22762867e+00
-5.82000000e+05 -8.06200000e+05 -2.99290000e+06 3.15380000e+06 6.48150000e+09 -2.19607301e+00 -1.24999226e+00
-1.19000000e+05 -3.12600000e+05 -3.16660000e+06 3.18420000e+06 6.92050000e+09 -1.93453581e+00 -1.46560707e+00
5.50000000e+04 -1.12700000e+05 -2.99090000e+06 2.99360000e+06 9.63110000e+09 -1.11677752e+00 -1.52832140e+00
4.75000000e+05 -9.44700000e+05 -3.27550000e+06 3.44200000e+06 2.86250000e+09 -1.10490714e+00 -1.25848833e+00
4.77000000e+05 -4.81400000e+05 -3.15820000e+06 3.23010000e+06 5.34970000e+09 -7.89989116e-01 -1.35940831e+00
8.67000000e+05 -5.30000000e+05 -3.34710000e+06 3.49800000e+06 4.96740000e+08 -5.48689354e-01 -1.27599905e+00
1.09000000e+06 -5.39500000e+05 -3.18750000e+06 3.41170000e+06 2.85400000e+09 -4.59602770e-01 -1.20624820e+00
1.42000000e+06 -6.11400000e+05 -2.81670000e+06 3.21310000e+06 7.20320000e+09 -4.06573428e-01 -1.06881314e+00
1.23900000e+06 -3.18400000e+05 -3.16330000e+06 3.41220000e+06 3.18090000e+09 -2.51538557e-01 -1.18648235e+00
-1.43500000e+06 -6.40900000e+05 -2.88050000e+06 3.28140000e+06 6.07040000e+09 -2.72155292e+00 -1.07130546e+00
-1.49100000e+06 -5.11300000e+05 -3.10380000e+06 3.48110000e+06 1.04470000e+09 -2.81123529e+00 -1.10089886e+00
-7.39000000e+05 -6.67000000e+05 -3.26700000e+06 3.41530000e+06 2.82490000e+09 -2.40735890e+00 -1.27502552e+00
-4.64000000e+05 -6.54400000e+05 -3.30590000e+06 3.40190000e+06 3.00050000e+09 -2.18756797e+00 -1.33266504e+00
-4.76000000e+05 -2.97600000e+05 -2.85930000e+06 2.91390000e+06 1.00000000e+10 -2.58284228e+00 -1.37690674e+00
1.75000000e+05 -8.14900000e+05 -3.10250000e+06 3.21250000e+06 6.35600000e+09 -1.35925887e+00 -1.30835220e+00
-4.15000000e+05 -1.25000000e+05 -3.11470000e+06 3.14470000e+06 6.46600000e+09 -2.84903089e+00 -1.43255691e+00
-4.10000000e+04 2.10000000e+04 -2.76610000e+06 2.76650000e+06 1.44450000e+10 2.66823661e+00 -1.55379100e+00
1.02000000e+05 3.42600000e+05 -3.28670000e+06 3.30610000e+06 6.50990000e+09 1.28142956e+00 -1.46241101e+00
5.77000000e+05 5.51000000e+04 -3.12610000e+06 3.17940000e+06 7.32690000e+09 9.52052394e-02 -1.38743210e+00
5.76000000e+05 -3.88800000e+05 -3.40710000e+06 3.47730000e+06 1.22810000e+09 -5.93749667e-01 -1.36951855e+00
9.88000000e+05 -2.89100000e+05 -2.99200000e+06 3.16420000e+06 7.86690000e+09 -2.84664495e-01 -1.23936837e+00
9.89000000e+05 -2.55100000e+05 -3.27940000e+06 3.43480000e+06 9.05820000e+08 -2.52435009e-01 -1.26884223e+00
1.43600000e+06 -1.38300000e+05 -3.07320000e+06 3.39500000e+06 3.69250000e+09 -9.60130678e-02 -1.13188197e+00
-1.70700000e+06 -4.58500000e+05 -2.94860000e+06 3.43780000e+06 1.96630000e+09 -2.87918626e+00 -1.03077884e+00
-1.23400000e+06 -1.19100000e+05 -2.96800000e+06 3.21650000e+06 5.74020000e+09 -3.04537528e+00 -1.17513560e+00
-8.49000000e+05 -1.38700000e+05 -3.32550000e+06 3.43500000e+06 2.75940000e+09 -2.97965454e+00 -1.31762228e+00
-1.01600000e+06 1.36000000e+04 -2.83600000e+06 3.01260000e+06 1.00610000e+10 3.12820763e+00 -1.22669660e+00
-8.20000000e+05 1.55000000e+04 -2.56400000e+06 2.69200000e+06 1.41890000e+10 3.12269247e+00 -1.26118383e+00
-5.67000000e+05 -3.86500000e+05 -3.32900000e+06 3.39900000e+06 2.12530000e+09 -2.54328322e+00 -1.36749669e+00
-1.44000000e+05 4.86000000e+05 -3.38830000e+06 3.42600000e+06 2.77140000e+09 1.85885177e+00 -1.42230843e+00
2.70000000e+05 5.59900000e+05 -3.16880000e+06 3.22920000e+06 7.12540000e+09 1.12146635e+00 -1.37708043e+00
2.30000000e+05 -1.70400000e+05 -2.75690000e+06 2.77180000e+06 1.25980000e+10 -6.37631976e-01 -1.46706214e+00
2.21000000e+05 1.17100000e+05 -2.81750000e+06 2.82860000e+06 1.17610000e+10 4.87252596e-01 -1.48217610e+00
7.63000000e+05 -3.01100000e+05 -2.80790000e+06 2.92530000e+06 1.04650000e+10 -3.75865461e-01 -1.28652890e+00
8.43000000e+05 -6.46000000e+04 -3.06410000e+06 3.17860000e+06 6.63210000e+09 -7.64816050e-02 -1.30157331e+00
9.50000000e+05 -7.71300000e+05 -3.22800000e+06 3.45220000e+06 2.38530000e+09 -6.81951865e-01 -1.20841674e+00
1.65700000e+06 3.21000000e+04 -3.06990000e+06 3.48870000e+06 1.92460000e+09 1.93699368e-02 -1.07576806e+00
1.87400000e+06 -6.29300000e+05 -2.78440000e+06 3.41480000e+06 2.27040000e+09 -3.23974088e-01 -9.53405704e-01
-1.59900000e+06 -2.14500000e+05 -3.10220000e+06 3.49670000e+06 1.58440000e+09 -3.00824240e+00 -1.09119584e+00
-1.46900000e+06 -3.15200000e+05 -2.87400000e+06 3.24310000e+06 6.75460000e+09 -2.93022970e+00 -1.08905429e+00
-1.25400000e+06 -5.91900000e+05 -3.17620000e+06 3.46570000e+06 2.09130000e+09 -2.70058707e+00 -1.15915938e+00
-5.96000000e+05 -1.07700000e+05 -3.35090000e+06 3.40520000e+06 1.55900000e+09 -2.96281722e+00 -1.39197373e+00
-7.36000000e+05 3.07800000e+05 -3.06750000e+06 3.16960000e+06 6.56500000e+09 2.74549019e+00 -1.31629011e+00
-5.67000000e+05 3.27400000e+05 -2.77660000e+06 2.85280000e+06 1.30480000e+10 2.61793780e+00 -1.33914847e+00
7.00000000e+04 -1.71000000e+04 -3.52510000e+06 3.52590000e+06 1.05960000e+09 -2.39593323e-01 -1.54949370e+00
-2.31000000e+05 7.68000000e+04 -2.97590000e+06 2.98590000e+06 9.58040000e+09 2.82062152e+00 -1.48893125e+00
5.35000000e+05 4.31400000e+05 -3.12170000e+06 3.19650000e+06 6.67860000e+09 6.78604033e-01 -1.35403640e+00
7.88000000e+05 2.20500000e+05 -3.13420000e+06 3.23930000e+06 6.64170000e+09 2.72843947e-01 -1.31536624e+00
6.08000000e+05 -2.15500000e+05 -3.01470000e+06 3.08300000e+06 9.53810000e+09 -3.40625488e-01 -1.35991232e+00
1.12300000e+06 -2.15000000e+04 -3.03230000e+06 3.23370000e+06 5.27960000e+09 -1.91428083e-02 -1.21600328e+00
1.37200000e+06 1.12600000e+05 -3.18110000e+06 3.46620000e+06 8.40140000e+08 8.18864517e-02 -1.16237397e+00
1.77100000e+06 2.28100000e+05 -2.93990000e+06 3.43970000e+06 2.50890000e+09 1.28092100e-01 -1.02496618e+00
1.53700000e+06 3.04800000e+05 -3.07310000e+06 3.44960000e+06 2.11570000e+09 1.95768487e-01 -1.09922798e+00
-1.52000000e+06 4.62100000e+05 -2.67440000e+06 3.11070000e+06 8.59630000e+09 2.84645814e+00 -1.03476465e+00
-1.49200000e+06 2.45300000e+05 -2.87140000e+06 3.24520000e+06 8.48150000e+09 2.97864027e+00 -1.08609573e+00
-7.72000000e+05 1.59800000e+05 -2.82110000e+06 2.92920000e+06 8.90740000e+09 2.93748044e+00 -1.29827652e+00
-8.56000000e+05 7.58800000e+05 -2.91600000e+06 3.13240000e+06 8.05810000e+09 2.41631516e+00 -1.19691175e+00
-5.57000000e+05 5.33000000e+05 -2.96450000e+06 3.06310000e+06 8.54860000e+09 2.37820928e+00 -1.31638011e+00
4.39000000e+05 -1.86900000e+05 -3.25050000e+06 3.28540000e+06 5.54230000e+09 -4.02497537e-01 -1.42490859e+00
-4.59000000e+05 4.09700000e+05 -3.20240000e+06 3.26100000e+06 8.08390000e+09 2.41288515e+00 -1.38093308e+00
-1.01000000e+05 6.12600000e+05 -2.83170000e+06 2.89900000e+06 1.18700000e+10 1.73419740e+00 -1.35490152e+00
3.55000000e+05 3.50900000e+05 -2.68310000e+06 2.72920000e+06 1.52410000e+10 7.79590041e-01 -1.38673566e+00
4.61000000e+05 5.27400000e+05 -2.87570000e+06 2.95980000e+06 5.75850000e+09 8.52476655e-01 -1.33184164e+00
7.64000000e+05 -4.02200000e+05 -3.14490000e+06 3.26130000e+06 7.94990000e+09 -4.84575027e-01 -1.30282004e+00
1.09300000e+06 2.21600000e+05 -3.21860000e+06 3.40640000e+06 2.81150000e+09 2.00033334e-01 -1.23719273e+00
1.32400000e+06 4.51100000e+05 -3.17450000e+06 3.46900000e+06 1.51770000e+09 3.28374771e-01 -1.15576879e+00
1.47900000e+06 3.85500000e+05 -2.82150000e+06 3.20890000e+06 5.26750000e+09 2.54975950e-01 -1.07433432e+00
-1.49500000e+06 2.49700000e+05 -3.16170000e+06 3.50630000e+06 7.04970000e+08 2.97609689e+00 -1.12373113e+00
-1.20900000e+06 1.74600000e+05 -3.25570000e+06 3.47730000e+06 7.54720000e+08 2.99816740e+00 -1.21186398e+00
-8.00000000e+05 5.61600000e+05 -3.09090000e+06 3.24180000e+06 6.76250000e+09 2.52952567e+00 -1.26448313e+00
-7.80000000e+05 1.07420000e+06 -2.94260000e+06 3.22820000e+06 7.10150000e+09 2.19883941e+00 -1.14698850e+00
-5.99000000e+05 8.43600000e+05 -2.97160000e+06 3.14660000e+06 7.62370000e+09 2.18823689e+00 -1.23571757e+00
-3.75000000e+05 6.06600000e+05 -3.41740000e+06 3.49110000e+06 7.70850000e+08 2.12449066e+00 -1.36495404e+00
1.40000000e+05 4.89400000e+05 -2.78620000e+06 2.83230000e+06 1.48380000e+10 1.29217285e+00 -1.39012607e+00
5.59000000e+05 6.38600000e+05 -3.33850000e+06 3.44470000e+06 1.08620000e+09 8.51766810e-01 -1.32183970e+00
9.75000000e+05 6.91400000e+05 -2.86410000e+06 3.10350000e+06 9.32350000e+09 6.16826041e-01 -1.17544493e+00
7.93000000e+05 5.43800000e+05 -3.23830000e+06 3.37810000e+06 3.67900000e+09 6.01098261e-01 -1.28209979e+00
1.47200000e+06 8.70400000e+05 -2.97220000e+06 3.42910000e+06 1.39890000e+09 5.34001103e-01 -1.04866469e+00
1.50800000e+06 6.08200000e+05 -3.03750000e+06 3.44540000e+06 1.68140000e+09 3.83361424e-01 -1.07926314e+00
-1.62900000e+06 4.70700000e+05 -3.00530000e+06 3.45070000e+06 1.97880000e+09 2.86030379e+00 -1.05708098e+00
-1.33800000e+06 4.40700000e+05 -3.08510000e+06 3.39150000e+06 3.64840000e+09 2.82341135e+00 -1.14245631e+00
-1.07800000e+06 5.85600000e+05 -2.95150000e+06 3.19630000e+06 7.16270000e+09 2.64396338e+00 -1.17687587e+00
-9.33000000e+05 1.32270000e+06 -2.84640000e+06 3.27450000e+06 5.92120000e+09 2.18512082e+00 -1.05370847e+00
-7.21000000e+05 1.33170000e+06 -3.12740000e+06 3.47480000e+06 1.31060000e+09 2.06702311e+00 -1.11982234e+00
-3.14000000e+05 9.22900000e+05 -3.08890000e+06 3.23910000e+06 7.50130000e+09 1.89874267e+00 -1.26507168e+00
-2.25000000e+05 8.17700000e+05 -3.34610000e+06 3.45190000e+06 1.55110000e+09 1.83931318e+00 -1.32257204e+00
7.38000000e+05 8.37800000e+05 -3.25450000e+06 3.44070000e+06 1.56230000e+09 8.48646600e-01 -1.24030527e+00
9.39000000e+05 1.01440000e+06 -3.20530000e+06 3.49070000e+06 1.19820000e+09 8.23978376e-01 -1.16361290e+00
1.26300000e+06 7.57700000e+05 -3.11080000e+06 3.44190000e+06 1.87370000e+09 5.40361280e-01 -1.12857465e+00
1.11000000e+06 5.26600000e+05 -3.27130000e+06 3.49440000e+06 1.20690000e+09 4.42970443e-01 -1.21152990e+00
1.18300000e+06 1.01810000e+06 -3.06200000e+06 3.43690000e+06 6.30950000e+08 7.10620766e-01 -1.09936499e+00
