# ID x y z r p longitude latitude
27807 -2.43200000e+05 -5.68750000e+06 -1.73130000e+06 5.95010000e+06 1.41160000e+10 -1.61353073e+00 -2.95240445e-01
27822 -4.06300000e+05 -5.50990000e+06 -1.28870000e+06 5.67320000e+06 2.53180000e+10 -1.64440310e+00 -2.29156084e-01
27835 -2.57090000e+06 -5.38980000e+06 -1.56590000e+06 6.17340000e+06 4.65080000e+09 -2.01586999e+00 -2.56454666e-01
27858 -3.03430000e+06 -5.17460000e+06 -1.46810000e+06 6.17570000e+06 4.94270000e+09 -2.10114352e+00 -2.40019986e-01
27884 -2.54960000e+06 -5.12800000e+06 -1.41770000e+06 5.89970000e+06 1.43670000e+10 -2.03219492e+00 -2.42675260e-01
28011 -4.25700000e+06 -4.14770000e+06 -1.76130000e+06 6.19900000e+06 2.28970000e+09 -2.36919839e+00 -2.88095229e-01
28012 -3.92450000e+06 -4.64360000e+06 -1.08620000e+06 6.17610000e+06 3.32190000e+09 -2.27246313e+00 -1.76791002e-01
28048 -5.18140000e+06 -3.31370000e+06 -2.41470000e+05 6.15510000e+06 4.59190000e+09 -2.57260758e+00 -3.92409518e-02
29982 6.20460000e+05 -6.00090000e+06 -1.32820000e+06 6.17740000e+06 3.05590000e+09 -1.46776793e+00 -2.16701610e-01
29991 -3.11090000e+06 -4.67790000e+06 -1.23760000e+06 5.75260000e+06 1.92200000e+10 -2.15765850e+00 -2.16832628e-01
29992 -1.62960000e+06 -5.57790000e+06 -1.22480000e+06 5.93870000e+06 1.30540000e+10 -1.85503855e+00 -2.07731215e-01
30001 9.08230000e+05 -5.78740000e+06 -8.51910000e+05 5.91990000e+06 1.44210000e+10 -1.41513361e+00 -1.44407525e-01
30013 -2.96350000e+06 -5.26270000e+06 -1.22130000e+06 6.16200000e+06 1.08980000e+09 -2.08365208e+00 -1.99519756e-01
30036 -2.29950000e+06 -5.10020000e+06 -1.29220000e+06 5.74190000e+06 2.47760000e+10 -1.99436908e+00 -2.26991744e-01
30063 -3.01740000e+06 -4.88230000e+06 -1.49890000e+06 5.93200000e+06 1.24750000e+10 -2.12436663e+00 -2.55449531e-01
30229 -4.48150000e+06 -3.59290000e+06 -1.36050000e+06 5.90290000e+06 1.03610000e+10 -2.46580492e+00 -2.32570866e-01
30236 -2.48370000e+06 -3.54740000e+06 -8.87570000e+05 4.42050000e+06 7.03430000e+10 -2.18162066e+00 -2.02159152e-01
30400 -3.17910000e+06 -3.07490000e+06 -1.00380000e+06 4.53530000e+06 6.73290000e+10 -2.37285429e+00 -2.23178548e-01
32169 -1.06570000e+06 -5.72170000e+06 -1.06750000e+06 5.91720000e+06 1.36220000e+10 -1.75494209e+00 -1.81399486e-01
32175 1.28200000e+06 -5.76080000e+06 -4.18030000e+05 5.91650000e+06 1.55540000e+10 -1.35182597e+00 -7.07138668e-02
32176 -9.60000000e+03 -5.73530000e+06 -1.50770000e+06 5.93020000e+06 1.49990000e+10 -1.57247017e+00 -2.57062839e-01
32177 1.51460000e+06 -5.96960000e+06 -4.24390000e+05 6.17330000e+06 4.19730000e+09 -1.32232065e+00 -6.88003162e-02
32184 -7.70300000e+05 -5.72860000e+06 -1.10880000e+06 5.88550000e+06 1.34740000e+10 -1.70446025e+00 -1.89527838e-01
32195 -2.49920000e+06 -5.32700000e+06 -1.89560000e+06 6.18190000e+06 3.07930000e+09 -2.00946662e+00 -3.11657929e-01
32199 -1.43110000e+06 -5.22290000e+06 -8.40550000e+05 5.48030000e+06 3.13880000e+10 -1.83823713e+00 -1.53984445e-01
